question,answer
"906, 3358, 3009, 520, 279, 1828, 296, 4484, 80794, 596, 13","5269, 3117, 3201, 374, 430, 30"
"5269, 3117, 3201, 374, 430, 30","72, 1781, 584, 3358, 387, 1070, 304, 4376, 459, 6596, 13"
"72, 1781, 584, 3358, 387, 1070, 304, 4376, 459, 6596, 13","72, 3987, 779, 13, 602, 617, 311, 733, 311, 279, 15197, 13"
"72, 3987, 779, 13, 602, 617, 311, 733, 311, 279, 15197, 13","9336, 11, 602, 649, 2744, 6958, 927, 13"
"9336, 11, 602, 649, 2744, 6958, 927, 13","2201, 11, 9901, 499, 11, 602, 3358, 1120, 3868, 13"
"2201, 11, 9901, 499, 11, 602, 3358, 1120, 3868, 13","906, 649, 5622, 1403, 20229, 449, 832, 9998, 13"
"906, 649, 5622, 1403, 20229, 449, 832, 9998, 13","12840, 656, 499, 3152, 30"
"12840, 656, 499, 3152, 30","3556, 499, 2351, 1701, 279, 15197, 11, 602, 3358, 2015, 1063, 3691, 13"
"3556, 499, 2351, 1701, 279, 15197, 11, 602, 3358, 2015, 1063, 3691, 13","15357, 956, 2015, 369, 757, 13, 602, 2846, 539, 30056, 13"
"15357, 956, 2015, 369, 757, 13, 602, 2846, 539, 30056, 13","72, 2846, 1633, 30056, 13, 602, 3358, 2015, 369, 499, 11, 323, 1243, 602, 3358, 8343, 18821, 13"
"576, 374, 1778, 264, 1317, 3177, 13","7349, 1268, 1690, 9515, 527, 8748, 304, 1584, 13"
"7349, 1268, 1690, 9515, 527, 8748, 304, 1584, 13","20670, 1205, 264, 2163, 65051, 18404, 13"
"20670, 1205, 264, 2163, 65051, 18404, 13","3323, 1403, 9515, 649, 1304, 264, 2163, 2543, 1475, 2380, 477, 3116, 4520, 13"
"3323, 1403, 9515, 649, 1304, 264, 2163, 2543, 1475, 2380, 477, 3116, 4520, 13","906, 3358, 387, 1618, 16058, 13"
"906, 3358, 387, 1618, 16058, 13","456, 704, 315, 420, 21971, 13"
"456, 704, 315, 420, 21971, 13","8248, 584, 1205, 311, 2543, 2163, 13"
"8248, 584, 1205, 311, 2543, 2163, 13","41119, 433, 13, 733, 7833, 13"
"41119, 433, 13, 733, 7833, 13","3473, 1148, 30"
"3473, 1148, 30","3473, 584, 3358, 1120, 1304, 264, 577, 65051, 13"
"3473, 584, 3358, 1120, 1304, 264, 577, 65051, 13","438, 1243, 584, 649, 2543, 1314, 520, 279, 3177, 13"
"438, 1243, 584, 649, 2543, 1314, 520, 279, 3177, 13","19045, 4623, 13, 433, 690, 387, 779, 1790, 39392, 13"
"72, 1205, 264, 12136, 1841, 13","5269, 1790, 3300, 656, 499, 617, 30"
"5269, 1790, 3300, 656, 499, 617, 30","3, 16, 11, 931, 13"
"3, 16, 11, 931, 13","9336, 11, 430, 1288, 636, 499, 2555, 13"
"9336, 11, 430, 1288, 636, 499, 2555, 13","8248, 602, 1205, 2555, 430, 596, 15062, 13"
"8248, 602, 1205, 2555, 430, 596, 15062, 13","9514, 1205, 264, 1841, 449, 3428, 50952, 13"
"9514, 1205, 264, 1841, 449, 3428, 50952, 13","64, 1841, 430, 574, 13234, 555, 264, 2697, 2362, 17240, 13"
"64, 1841, 430, 574, 13234, 555, 264, 2697, 2362, 17240, 13","2940, 617, 499, 7111, 30"
"2940, 617, 499, 7111, 30","72, 9167, 956, 7111, 12660, 3686, 13"
"72, 9167, 956, 7111, 12660, 3686, 13","35734, 539, 30"
"35734, 539, 30","28753, 602, 3358, 2646, 1505, 832, 369, 1778, 264, 3428, 3430, 13"
"28753, 602, 3358, 2646, 1505, 832, 369, 1778, 264, 3428, 3430, 13","9514, 2351, 1314, 922, 430, 13, 2567, 14324, 701, 3300, 13"
"19045, 13658, 11, 9640, 13","22479, 5696, 596, 5842, 323, 12506, 11, 4587, 13"
"22479, 5696, 596, 5842, 323, 12506, 11, 4587, 13","6881, 499, 733, 13"
"6881, 499, 733, 13","3055, 499, 1440, 3249, 602, 13541, 499, 927, 30"
"3055, 499, 1440, 3249, 602, 13541, 499, 927, 30","72, 617, 912, 4623, 13, 682, 315, 264, 11210, 602, 6755, 701, 274, 47435, 13"
"72, 617, 912, 4623, 13, 682, 315, 264, 11210, 602, 6755, 701, 274, 47435, 13","9514, 23255, 1555, 430, 3009, 1879, 1203, 1070, 13"
"9514, 23255, 1555, 430, 3009, 1879, 1203, 1070, 13","8248, 602, 10717, 0"
"8248, 602, 10717, 0","2201, 11, 499, 3287, 956, 13, 499, 48946, 1523, 11, 719, 499, 3287, 956, 2586, 311, 264, 2539, 3009, 13"
"2201, 11, 499, 3287, 956, 13, 499, 48946, 1523, 11, 719, 499, 3287, 956, 2586, 311, 264, 2539, 3009, 13","9336, 11, 19093, 775, 1587, 11, 779, 3249, 1288, 602, 30"
"9336, 11, 19093, 775, 1587, 11, 779, 3249, 1288, 602, 30","9210, 596, 539, 279, 19451, 315, 264, 1695, 5696, 13"
"9210, 596, 539, 279, 19451, 315, 264, 1695, 5696, 13","8248, 602, 1097, 264, 1695, 5696, 13, 602, 3077, 2646, 1047, 264, 11989, 304, 856, 2324, 13"
"8248, 602, 1097, 264, 1695, 5696, 13, 602, 3077, 2646, 1047, 264, 11989, 304, 856, 2324, 13","9336, 11, 499, 3077, 2751, 832, 1457, 13, 1618, 13, 617, 264, 6555, 1938, 13"
"3, 6860, 13, 602, 649, 956, 4510, 433, 13","12840, 527, 499, 7556, 922, 30"
"12840, 527, 499, 7556, 922, 30","72, 2751, 264, 11989, 19441, 369, 400, 6860, 13"
"72, 2751, 264, 11989, 19441, 369, 400, 6860, 13","52898, 499, 58675, 30"
"52898, 499, 58675, 30","2201, 11, 602, 574, 27736, 279, 8761, 13"
"2201, 11, 602, 574, 27736, 279, 8761, 13","52898, 499, 503, 352, 81749, 30"
"52898, 499, 503, 352, 81749, 30","2201, 11, 602, 574, 304, 279, 5425, 19599, 13"
"2201, 11, 602, 574, 304, 279, 5425, 19599, 13","708, 3249, 1550, 499, 636, 264, 11989, 30"
"708, 3249, 1550, 499, 636, 264, 11989, 30","1820, 9640, 1071, 279, 2579, 1450, 574, 85122, 13"
"1820, 9640, 1071, 279, 2579, 1450, 574, 85122, 13","16514, 433, 85122, 994, 499, 10862, 279, 5425, 19599, 30"
"16514, 433, 85122, 994, 499, 10862, 279, 5425, 19599, 30","2201, 11, 279, 4251, 4321, 1879, 574, 85122, 13"
"2201, 11, 279, 4251, 4321, 1879, 574, 85122, 13","9514, 1288, 4465, 430, 11989, 13, 602, 3358, 387, 701, 11550, 13"
"20670, 1051, 304, 264, 5425, 19599, 3221, 2978, 520, 220, 18, 264, 749, 13","14965, 30"
"14965, 30","20375, 4236, 505, 603, 66, 13"
"20375, 4236, 505, 603, 66, 13","12840, 7077, 30"
"12840, 7077, 30","64, 58675, 1841, 10837, 264, 2579, 3177, 11, 13419, 279, 3828, 13"
"64, 58675, 1841, 10837, 264, 2579, 3177, 11, 13419, 279, 3828, 13","12840, 7077, 311, 279, 1023, 5575, 30"
"12840, 7077, 311, 279, 1023, 5575, 30","383, 27212, 389, 279, 28314, 315, 279, 1841, 13"
"383, 27212, 389, 279, 28314, 315, 279, 1841, 13","23770, 568, 636, 1022, 279, 28314, 30"
"23770, 568, 636, 1022, 279, 28314, 30","2201, 11, 279, 1841, 10717, 323, 279, 24023, 15753, 279, 15902, 5575, 1022, 279, 28314, 13"
"2201, 11, 279, 1841, 10717, 323, 279, 24023, 15753, 279, 15902, 5575, 1022, 279, 28314, 13","72, 3358, 1297, 279, 1841, 8738, 389, 1202, 1648, 13"
"72, 3358, 1297, 279, 1841, 8738, 389, 1202, 1648, 13","1073, 3388, 433, 1550, 13, 3249, 3009, 1306, 499, 3077, 1629, 927, 1403, 1274, 30"
"1073, 3388, 433, 1550, 13, 3249, 3009, 1306, 499, 3077, 1629, 927, 1403, 1274, 30","72, 3987, 814, 1505, 1124, 323, 2231, 1124, 304, 17999, 369, 2324, 13"
"12840, 7077, 311, 701, 1841, 30","72, 2751, 264, 18653, 304, 279, 13217, 2763, 13"
"72, 2751, 264, 18653, 304, 279, 13217, 2763, 13","5269, 1550, 499, 636, 433, 30"
"5269, 1550, 499, 636, 433, 30","72, 1541, 956, 1440, 13, 7344, 433, 574, 505, 264, 12185, 7558, 13"
"72, 1541, 956, 1440, 13, 7344, 433, 574, 505, 264, 12185, 7558, 13","54719, 12185, 66504, 527, 11660, 13"
"54719, 12185, 66504, 527, 11660, 13","36046, 279, 9501, 6305, 13"
"36046, 279, 9501, 6305, 13","72, 1541, 956, 6246, 520, 264, 3637, 430, 5829, 9501, 12185, 66504, 13"
"72, 1541, 956, 6246, 520, 264, 3637, 430, 5829, 9501, 12185, 66504, 13","9210, 596, 264, 1695, 4623, 11, 719, 1070, 574, 264, 1695, 6412, 520, 420, 3637, 13"
"9210, 596, 264, 1695, 4623, 11, 719, 1070, 574, 264, 1695, 6412, 520, 420, 3637, 13","23770, 499, 3665, 904, 3300, 389, 279, 6412, 30"
"23770, 499, 3665, 904, 3300, 389, 279, 6412, 30","9891, 11, 602, 1550, 13, 602, 6924, 922, 400, 1135, 13"
"9891, 11, 602, 1550, 13, 602, 6924, 922, 400, 1135, 13","9210, 596, 2294, 13"
"9210, 596, 2294, 13","9891, 11, 3734, 420, 18653, 690, 2853, 922, 400, 3965, 13"
"23770, 499, 1518, 330, 83, 13145, 292, 44969","9891, 13, 433, 374, 264, 2294, 5818, 13"
"9891, 13, 433, 374, 264, 2294, 5818, 13","72, 5602, 433, 30335, 3115, 13"
"72, 5602, 433, 30335, 3115, 13","72, 5602, 433, 8223, 3115, 13"
"72, 5602, 433, 8223, 3115, 13","72, 617, 279, 51008, 13"
"72, 617, 279, 51008, 13","708, 656, 602, 13"
"708, 656, 602, 13","1169, 596, 733, 311, 701, 2162, 13"
"1169, 596, 733, 311, 701, 2162, 13","906, 649, 3821, 856, 51008, 13"
"906, 649, 3821, 856, 51008, 13","438, 1243, 584, 649, 733, 311, 856, 2162, 13"
"438, 1243, 584, 649, 733, 311, 856, 2162, 13","438, 3821, 701, 51008, 13"
"438, 3821, 701, 51008, 13","72, 2744, 16106, 520, 279, 842, 13"
"72, 2744, 16106, 520, 279, 842, 13","2727, 2288, 13, 433, 596, 779, 12703, 13"
"1169, 596, 1514, 7563, 13","72, 1541, 956, 1440, 904, 3786, 3953, 13"
"72, 1541, 956, 1440, 904, 3786, 3953, 13","72, 3358, 4639, 499, 832, 13"
"72, 3358, 4639, 499, 832, 13","94317, 13, 1148, 690, 499, 4639, 757, 30"
"94317, 13, 1148, 690, 499, 4639, 757, 30","275, 596, 2663, 21481, 13"
"275, 596, 2663, 21481, 13","285, 433, 4228, 311, 4048, 30"
"285, 433, 4228, 311, 4048, 30","9891, 11, 433, 690, 1193, 1935, 922, 220, 966, 4520, 13"
"9891, 11, 433, 690, 1193, 1935, 922, 220, 966, 4520, 13","94317, 13, 4639, 757, 1268, 311, 1514, 13"
"94317, 13, 4639, 757, 1268, 311, 1514, 13","906, 1855, 636, 4330, 7563, 13"
"906, 1855, 636, 4330, 7563, 13","2319, 11, 1427, 13, 602, 617, 3116, 22781, 13"
"2319, 11, 1427, 13, 602, 617, 3116, 22781, 13","9210, 596, 2294, 11, 719, 499, 2351, 539, 10171, 311, 3371, 757, 13"
"9210, 596, 2294, 11, 719, 499, 2351, 539, 10171, 311, 3371, 757, 13","2319, 13, 14931, 13, 17339, 11, 602, 1541, 956, 617, 3116, 22781, 13"
"72, 2846, 264, 1695, 3786, 2851, 13","35734, 374, 430, 30"
"35734, 374, 430, 30","28753, 602, 3821, 279, 1023, 4311, 13"
"28753, 602, 3821, 279, 1023, 4311, 13","12840, 656, 499, 3152, 30"
"12840, 656, 499, 3152, 30","16455, 690, 3371, 499, 422, 814, 617, 264, 1695, 1450, 13"
"16455, 690, 3371, 499, 422, 814, 617, 264, 1695, 1450, 13","5269, 656, 814, 656, 430, 30"
"5269, 656, 814, 656, 430, 30","2000, 3187, 11, 264, 4333, 315, 10705, 326, 5908, 813, 23726, 13"
"2000, 3187, 11, 264, 4333, 315, 10705, 326, 5908, 813, 23726, 13","9493, 568, 326, 5908, 813, 23726, 11, 499, 1440, 568, 706, 264, 1695, 1450, 30"
"9493, 568, 326, 5908, 813, 23726, 11, 499, 1440, 568, 706, 264, 1695, 1450, 30","72, 1440, 568, 706, 264, 1695, 1450, 11, 779, 602, 1541, 956, 1297, 13"
"72, 1440, 568, 706, 264, 1695, 1450, 11, 779, 602, 1541, 956, 1297, 13","383, 2646, 15160, 701, 3300, 30"
"383, 2646, 15160, 701, 3300, 30","2201, 375, 11, 323, 433, 20722, 1461, 14599, 13"
"2201, 375, 11, 323, 433, 20722, 1461, 14599, 13","383, 8964, 499, 649, 956, 1373, 813, 4059, 13, 7344, 568, 15849, 499, 2351, 42823, 13"
"413, 279, 9063, 1523, 11, 4587, 13","8248, 602, 2846, 14624, 311, 433, 13"
"8248, 602, 2846, 14624, 311, 433, 13","9336, 11, 9020, 311, 433, 810, 30666, 13"
"9336, 11, 9020, 311, 433, 810, 30666, 13","72, 649, 956, 3868, 12222, 602, 3139, 709, 13"
"72, 649, 956, 3868, 12222, 602, 3139, 709, 13","12840, 690, 499, 656, 30"
"12840, 690, 499, 656, 30","72, 690, 1514, 279, 9063, 439, 17813, 439, 602, 1390, 13"
"72, 690, 1514, 279, 9063, 439, 17813, 439, 602, 1390, 13","9210, 596, 17339, 449, 757, 13"
"9210, 596, 17339, 449, 757, 13","72, 690, 617, 264, 9063, 304, 1475, 3130, 315, 856, 3838, 13"
"72, 690, 617, 264, 9063, 304, 1475, 3130, 315, 856, 3838, 13","1864, 485, 757, 311, 2646, 4034, 499, 13"
"1864, 485, 757, 311, 2646, 4034, 499, 13","543, 279, 71169, 690, 387, 389, 5066, 17813, 13"
"543, 279, 71169, 690, 387, 389, 5066, 17813, 13","22479, 19228, 690, 12491, 499, 13"
"22479, 19228, 690, 12491, 499, 13","333, 814, 1541, 956, 1093, 433, 11, 814, 649, 3351, 13"
"72, 3987, 602, 3243, 279, 2763, 998, 13","22479, 17393, 527, 1633, 2678, 13"
"22479, 17393, 527, 1633, 2678, 13","8248, 499, 649, 956, 3243, 422, 499, 1541, 956, 1514, 13"
"8248, 499, 649, 956, 3243, 422, 499, 1541, 956, 1514, 13","4317, 0, 499, 649, 956, 3243, 422, 499, 656, 1514, 13"
"4317, 0, 499, 649, 956, 3243, 422, 499, 656, 1514, 13","90579, 706, 311, 3243, 13"
"90579, 706, 311, 3243, 13","9210, 596, 1148, 5127, 2795, 13"
"9210, 596, 1148, 5127, 2795, 13","275, 2643, 439, 1664, 387, 757, 13"
"275, 2643, 439, 1664, 387, 757, 13","9210, 596, 1148, 5127, 2795, 13"
"9210, 596, 1148, 5127, 2795, 13","9514, 2351, 4560, 311, 3371, 757, 2555, 13"
"9514, 2351, 4560, 311, 3371, 757, 2555, 13","9210, 3287, 956, 1935, 1317, 13"
"9210, 3287, 956, 1935, 1317, 13","9514, 1781, 602, 1288, 17257, 5737, 13"
"9514, 1781, 602, 1288, 17257, 5737, 13","6766, 701, 3300, 369, 2978, 13"
"12840, 596, 389, 11333, 30","42312, 1790, 13"
"42312, 1790, 13","12840, 922, 279, 20075, 1847, 30"
"12840, 922, 279, 20075, 1847, 30","275, 2751, 436, 2692, 704, 13"
"275, 2751, 436, 2692, 704, 13","81, 2692, 704, 30"
"81, 2692, 704, 30","9891, 11, 436, 2692, 704, 13"
"9891, 11, 436, 2692, 704, 13","5269, 1436, 430, 387, 30"
"5269, 1436, 430, 387, 30","9336, 11, 499, 649, 956, 1514, 20075, 304, 264, 11422, 27511, 13"
"9336, 11, 499, 649, 956, 1514, 20075, 304, 264, 11422, 27511, 13","72, 3463, 814, 1051, 5737, 1234, 264, 58438, 13"
"72, 3463, 814, 1051, 5737, 1234, 264, 58438, 13","1820, 58438, 3250, 956, 3345, 13"
"1820, 58438, 3250, 956, 3345, 13","35734, 3250, 956, 433, 3345, 30"
"35734, 3250, 956, 433, 3345, 30","14965, 8964, 30, 814, 1071, 814, 3358, 5155, 433, 1603, 1828, 3280, 13"
"4919, 602, 1456, 701, 11033, 30","19643, 13, 1618, 499, 733, 13"
"19643, 13, 1618, 499, 733, 13","71, 3906, 11, 430, 596, 539, 3958, 13"
"71, 3906, 11, 430, 596, 539, 3958, 13","19041, 596, 4400, 304, 433, 13"
"19041, 596, 4400, 304, 433, 13","12840, 656, 499, 3152, 30"
"12840, 656, 499, 3152, 30","72, 3152, 11, 433, 596, 1120, 11033, 13"
"72, 3152, 11, 433, 596, 1120, 11033, 13","72, 25720, 430, 13"
"72, 25720, 430, 13","275, 596, 539, 2288, 26242, 369, 499, 30"
"275, 596, 539, 2288, 26242, 369, 499, 30","275, 596, 264, 2697, 26242, 11, 719, 433, 596, 17339, 13"
"275, 596, 264, 2697, 26242, 11, 719, 433, 596, 17339, 13","19041, 596, 912, 13465, 477, 12932, 304, 433, 13"
"19041, 596, 912, 13465, 477, 12932, 304, 433, 13","2201, 11, 433, 596, 264, 12945, 499, 617, 311, 636, 1511, 311, 13"
"2201, 11, 433, 596, 264, 12945, 499, 617, 311, 636, 1511, 311, 13","7003, 315, 1093, 13179, 13"
"1169, 596, 1935, 264, 4321, 13","12840, 596, 279, 9282, 1093, 30"
"12840, 596, 279, 9282, 1093, 30","1169, 757, 3094, 4994, 323, 1518, 13"
"1169, 757, 3094, 4994, 323, 1518, 13","275, 596, 264, 2697, 81975, 11, 1314, 30"
"275, 596, 264, 2697, 81975, 11, 1314, 30","9891, 11, 433, 374, 13"
"9891, 11, 433, 374, 13","72, 3358, 2231, 389, 856, 2107, 13"
"72, 3358, 2231, 389, 856, 2107, 13","23581, 264, 27300, 11, 2288, 13"
"23581, 264, 27300, 11, 2288, 13","72, 5895, 422, 602, 1288, 4546, 856, 36516, 13"
"72, 5895, 422, 602, 1288, 4546, 856, 36516, 13","37860, 499, 1288, 11, 1120, 304, 1162, 433, 5334, 76214, 13"
"37860, 499, 1288, 11, 1120, 304, 1162, 433, 5334, 76214, 13","72, 3358, 2231, 264, 56520, 304, 1855, 18301, 13"
"72, 3358, 2231, 264, 56520, 304, 1855, 18301, 13","906, 3358, 636, 46039, 439, 584, 4321, 13"
"906, 3358, 636, 46039, 439, 584, 4321, 13","9891, 11, 719, 433, 5334, 76214, 439, 279, 7160, 5900, 1523, 13"
"7349, 520, 279, 1841, 33586, 389, 11333, 0","9210, 5696, 374, 14599, 13"
"9210, 5696, 374, 14599, 13","72, 649, 956, 4510, 568, 12775, 956, 34853, 13"
"72, 649, 956, 4510, 568, 12775, 956, 34853, 13","5269, 5043, 374, 568, 2133, 30"
"5269, 5043, 374, 568, 2133, 30","20670, 2019, 568, 596, 2133, 220, 1490, 8931, 824, 6596, 13"
"20670, 2019, 568, 596, 2133, 220, 1490, 8931, 824, 6596, 13","383, 596, 2133, 311, 5622, 4423, 13"
"383, 596, 2133, 311, 5622, 4423, 13","7349, 0, 568, 1120, 4295, 430, 1841, 13"
"7349, 0, 568, 1120, 4295, 430, 1841, 13","2319, 11, 856, 39526, 13, 912, 832, 374, 6220, 389, 279, 14708, 13"
"2319, 11, 856, 39526, 13, 912, 832, 374, 6220, 389, 279, 14708, 13","3409, 568, 596, 48408, 1523, 13"
"3409, 568, 596, 48408, 1523, 13","37860, 568, 10837, 704, 315, 6962, 13"
"37860, 568, 10837, 704, 315, 6962, 13","7349, 0, 568, 1120, 2751, 704, 315, 279, 1841, 323, 3940, 4401, 13"
"7349, 0, 568, 1120, 2751, 704, 315, 279, 1841, 323, 3940, 4401, 13","72, 3987, 279, 4379, 2339, 1461, 13"
"23001, 3754, 374, 779, 18754, 13","20670, 13434, 956, 1524, 1650, 433, 3754, 13"
"20670, 13434, 956, 1524, 1650, 433, 3754, 13","4354, 3814, 814, 3309, 603, 922, 264, 8415, 304, 264, 32169, 13"
"4354, 3814, 814, 3309, 603, 922, 264, 8415, 304, 264, 32169, 13","88, 11534, 814, 3309, 603, 922, 264, 5679, 304, 264, 13961, 13"
"88, 11534, 814, 3309, 603, 922, 264, 5679, 304, 264, 13961, 13","4354, 2046, 814, 3309, 603, 922, 264, 11984, 304, 264, 1203, 20085, 13"
"4354, 2046, 814, 3309, 603, 922, 264, 11984, 304, 264, 1203, 20085, 13","4354, 2305, 814, 3309, 603, 922, 264, 8814, 304, 264, 10960, 13"
"4354, 2305, 814, 3309, 603, 922, 264, 8814, 304, 264, 10960, 13","1820, 9282, 1543, 10975, 603, 279, 9499, 304, 1475, 6424, 13"
"1820, 9282, 1543, 10975, 603, 279, 9499, 304, 1475, 6424, 13","1820, 10034, 7564, 5039, 603, 4311, 11039, 13"
"1820, 10034, 7564, 5039, 603, 4311, 11039, 13","20670, 2744, 3371, 603, 330, 12840, 596, 1828, 1210"
"20670, 2744, 3371, 603, 330, 12840, 596, 1828, 1210","20670, 2744, 1304, 330, 12840, 596, 1828, 1, 5222, 13548, 11, 719, 433, 2646, 374, 13"
"20670, 2744, 1304, 330, 12840, 596, 1828, 1, 5222, 13548, 11, 719, 433, 2646, 374, 13","275, 596, 810, 1093, 3754, 369, 6980, 13"
"275, 596, 810, 1093, 3754, 369, 6980, 13","20670, 1288, 617, 10585, 19578, 13"
"72, 3021, 856, 6500, 13","66047, 388, 527, 779, 7155, 13"
"66047, 388, 527, 779, 7155, 13","72, 3021, 311, 733, 2930, 13"
"72, 3021, 311, 733, 2930, 13","1820, 7757, 374, 8056, 13"
"1820, 7757, 374, 8056, 13","9514, 649, 5944, 682, 927, 279, 1917, 13"
"9514, 649, 5944, 682, 927, 279, 1917, 13","72, 1440, 13, 602, 4024, 311, 33625, 13985, 13"
"72, 1440, 13, 602, 4024, 311, 33625, 13985, 13","12840, 1550, 499, 656, 30"
"12840, 1550, 499, 656, 30","72, 14980, 389, 279, 2294, 7147, 323, 7111, 682, 2212, 13"
"72, 14980, 389, 279, 2294, 7147, 323, 7111, 682, 2212, 13","12840, 574, 433, 1093, 30"
"12840, 574, 433, 1093, 30","275, 574, 1093, 279, 1972, 3245, 13"
"275, 574, 1093, 279, 1972, 3245, 13","275, 574, 1093, 1694, 1070, 30"
"275, 574, 1093, 1694, 1070, 30","9891, 11, 602, 6612, 1093, 602, 574, 3604, 1070, 13"
"1820, 9567, 645, 527, 279, 1888, 13","20670, 527, 279, 1888, 18273, 1912, 3596, 13"
"20670, 527, 279, 1888, 18273, 1912, 3596, 13","72, 3021, 682, 872, 11936, 13"
"72, 3021, 682, 872, 11936, 13","72, 1541, 956, 1440, 902, 832, 602, 1093, 279, 1888, 13"
"72, 1541, 956, 1440, 902, 832, 602, 1093, 279, 1888, 13","72, 1093, 279, 6305, 602, 649, 7936, 3235, 449, 13"
"72, 1093, 279, 6305, 602, 649, 7936, 3235, 449, 13","708, 656, 602, 11, 1093, 330, 32158, 16180, 499, 1210"
"708, 656, 602, 11, 1093, 330, 32158, 16180, 499, 1210","1, 32158, 16180, 499, 11, 22371, 11, 22371, 11, 22371, 0, 21908"
"1, 32158, 16180, 499, 11, 22371, 11, 22371, 11, 22371, 0, 21908","1, 33895, 53676, 499, 1440, 499, 1288, 387, 16089, 9135"
"1, 33895, 53676, 499, 1440, 499, 1288, 387, 16089, 9135","12840, 264, 2294, 5609, 13"
"12840, 264, 2294, 5609, 13","5269, 922, 330, 1169, 433, 387, 7673"
"5269, 922, 330, 1169, 433, 387, 7673","2319, 11, 10035, 0, 330, 1169, 433, 387, 11, 1095, 433, 387, 33895, 56209"
"2319, 11, 10035, 0, 330, 1169, 433, 387, 11, 1095, 433, 387, 33895, 56209","1, 33895, 1981, 19041, 690, 387, 459, 4320, 11, 1095, 433, 387, 9135"
"1169, 596, 733, 311, 264, 5818, 13","72, 4265, 4856, 539, 13"
"72, 4265, 4856, 539, 13","35734, 539, 30"
"35734, 539, 30","9514, 1440, 602, 1541, 956, 1093, 35851, 13"
"9514, 1440, 602, 1541, 956, 1093, 35851, 13","1169, 596, 733, 311, 459, 4216, 5818, 13"
"1169, 596, 733, 311, 459, 4216, 5818, 13","94317, 11, 430, 2834, 956, 387, 1633, 39313, 13"
"94317, 11, 430, 2834, 956, 387, 1633, 39313, 13","12840, 1053, 499, 1093, 311, 1518, 30"
"12840, 1053, 499, 1093, 311, 1518, 30","2319, 11, 602, 1541, 956, 2512, 13, 499, 2351, 279, 832, 889, 6944, 311, 733, 704, 13"
"2319, 11, 602, 1541, 956, 2512, 13, 499, 2351, 279, 832, 889, 6944, 311, 733, 704, 13","9336, 11, 602, 1390, 311, 1518, 330, 1820, 33436, 315, 2306, 1910, 434, 1210"
"9336, 11, 602, 1390, 311, 1518, 330, 1820, 33436, 315, 2306, 1910, 434, 1210","12840, 617, 499, 6755, 922, 433, 30"
"12840, 617, 499, 6755, 922, 433, 30","275, 596, 3196, 389, 264, 837, 3446, 922, 264, 50592, 893, 323, 813, 3995, 4538, 13"
"275, 596, 3196, 389, 264, 837, 3446, 922, 264, 50592, 893, 323, 813, 3995, 4538, 13","9336, 11, 602, 3987, 433, 706, 264, 6380, 13696, 13"
"12840, 596, 701, 7075, 3245, 311, 656, 30","72, 1093, 311, 3821, 1274, 13"
"72, 1093, 311, 3821, 1274, 13","9210, 596, 701, 7075, 3245, 311, 656, 30"
"9210, 596, 701, 7075, 3245, 311, 656, 30","9336, 11, 433, 596, 832, 315, 1124, 13"
"9336, 11, 433, 596, 832, 315, 1124, 13","2940, 656, 499, 733, 311, 3821, 1274, 30"
"2940, 656, 499, 733, 311, 3821, 1274, 30","2465, 23601, 323, 602, 2503, 4994, 6917, 40888, 13"
"2465, 23601, 323, 602, 2503, 4994, 6917, 40888, 13","9210, 10578, 1093, 264, 1695, 7858, 13"
"9210, 10578, 1093, 264, 1695, 7858, 13","906, 3821, 1274, 4321, 555, 449, 872, 12875, 13"
"906, 3821, 1274, 4321, 555, 449, 872, 12875, 13","72, 8101, 499, 1518, 10283, 315, 2204, 12875, 13"
"72, 8101, 499, 1518, 10283, 315, 2204, 12875, 13","906, 1541, 956, 1524, 1440, 1148, 3169, 1455, 315, 1124, 527, 13"
"906, 1541, 956, 1524, 1440, 1148, 3169, 1455, 315, 1124, 527, 13","19041, 527, 10283, 315, 2204, 13124, 11, 719, 814, 682, 617, 832, 3245, 304, 4279, 13"
"19041, 527, 10283, 315, 2204, 13124, 11, 719, 814, 682, 617, 832, 3245, 304, 4279, 13","9891, 11, 814, 3021, 311, 58387, 1855, 1023, 994, 814, 3449, 13"
"20670, 1650, 1461, 7126, 18160, 4121, 13","9891, 11, 568, 574, 389, 279, 11333, 3754, 3432, 13"
"9891, 11, 568, 574, 389, 279, 11333, 3754, 3432, 13","30115, 384, 2352, 93463, 568, 6835, 3201, 3300, 13"
"30115, 384, 2352, 93463, 568, 6835, 3201, 3300, 13","285, 433, 813, 3300, 30"
"285, 433, 813, 3300, 30","2201, 13, 5818, 9958, 3041, 1461, 3300, 311, 3041, 311, 23855, 1274, 13"
"2201, 13, 5818, 9958, 3041, 1461, 3300, 311, 3041, 311, 23855, 1274, 13","5269, 1790, 3300, 1587, 568, 3041, 3201, 30"
"5269, 1790, 3300, 1587, 568, 3041, 3201, 30","576, 1060, 568, 6688, 3201, 400, 868, 11, 931, 13"
"576, 1060, 568, 6688, 3201, 400, 868, 11, 931, 13","9210, 596, 264, 2763, 315, 3300, 13"
"9210, 596, 264, 2763, 315, 3300, 13","383, 6688, 400, 1041, 311, 1274, 304, 13587, 331, 4825, 13"
"383, 6688, 400, 1041, 311, 1274, 304, 13587, 331, 4825, 13","12840, 922, 279, 1023, 23855, 1274, 30"
"12840, 922, 279, 1023, 23855, 1274, 30","20670, 2751, 400, 16, 1855, 13"
